Nombre,Apellido,FechaNacimiento,Genero,Email,Telefono,Direccion,Ciudad,Region,CodigoPostal,Grupo,Nivel,Apoderado,TelefonoApoderado,EmailApoderado,Notas
María,Flores,2008-03-15,Femenino,maria.flores@email.com,+56987654321,Av. Las Condes 789,Santiago,Región Metropolitana,7500000,Mini Ballet,Principiante,Ana Flores,+56987654322,ana.flores@email.com,Estudiante muy dedicada
Juan,Pérez,2009-07-22,Masculino,juan.perez@email.com,+56976543210,Calle Providencia 456,Santiago,Región Metropolitana,7500000,Teen Hip Hop,Intermedio,Carlos Pérez,+56976543211,carlos.perez@email.com,Excelente ritmo
Sofía,Morales,2007-11-08,Femenino,sofia.morales@email.com,+56965432109,Av. Vitacura 321,Santiago,Región Metropolitana,7500000,Adultos Contemporáneo,Avanzado,Laura Morales,+56965432110,laura.morales@email.com,Experiencia en ballet
Diego,Silva,2006-05-30,Masculino,diego.silva@email.com,+56954321098,Calle Apoquindo 654,Santiago,Región Metropolitana,7500000,High Level Jazz,Experto,Rodrigo Silva,+56954321099,rodrigo.silva@email.com,Instructor asistente
Valentina,Rojas,2008-12-14,Femenino,valentina.rojas@email.com,+56943210987,Av. Manquehue 987,Santiago,Región Metropolitana,7500000,Mini Ballet,Principiante,Carmen Rojas,+56943210988,carmen.rojas@email.com,Primera vez en danza
Matías,Herrera,2009-01-25,Masculino,matias.herrera@email.com,+56932109876,Calle El Bosque 147,Santiago,Región Metropolitana,7500000,Teen Hip Hop,Intermedio,Patricio Herrera,+56932109877,patricio.herrera@email.com,Interés en breakdance
Camila,Vargas,2007-09-03,Femenino,camila.vargas@email.com,+56921098765,Av. Kennedy 258,Santiago,Región Metropolitana,7500000,Adultos Contemporáneo,Avanzado,Roberto Vargas,+56921098766,roberto.vargas@email.com,Especialidad en jazz
Andrés,Castro,2006-08-17,Masculino,andres.castro@email.com,+56910987654,Calle Isidora Goyenechea 369,Santiago,Región Metropolitana,7500000,High Level Jazz,Experto,María Castro,+56910987655,maria.castro@email.com,Coreógrafo junior
Isabella,Moreno,2008-04-12,Femenino,isabella.moreno@email.com,+56909876543,Av. Américo Vespucio 741,Santiago,Región Metropolitana,7500000,Mini Ballet,Principiante,Claudia Moreno,+56909876544,claudia.moreno@email.com,Clases particulares previas
Sebastián,Torres,2009-10-28,Masculino,sebastian.torres@email.com,+56908765432,Calle Nueva Costanera 852,Santiago,Región Metropolitana,7500000,Teen Hip Hop,Intermedio,Francisco Torres,+56908765433,francisco.torres@email.com,Participó en competencias
